Date,Username,User tag,Content,Mentions,link
"2022-04-13,14:48:00",leo7.,#0,.....,,
"2022-04-13,14:48:01",leo7.,#0,1,,
"2022-04-14,13:02:01",leo7.,#0,2,,
"2022-04-15,10:08:06",leo7.,#0,3,,
"2022-04-16,02:08:10",leo7.,#0,4,,
"2022-04-17,00:03:12",leo7.,#0,5,,
"2022-04-18,10:15:38",leo7.,#0,6,,
"2022-04-19,09:59:00",leo7.,#0,7,,
"2022-04-20,03:31:11",leo7.,#0,8,,
"2022-04-21,07:24:32",leo7.,#0,9,,
"2022-04-22,08:35:28",leo7.,#0,10,,
"2022-04-23,09:24:14",leo7.,#0,11,,
"2022-04-24,07:11:52",leo7.,#0,12,,
"2022-04-25,08:33:05",leo7.,#0,13,,
"2022-04-26,08:16:09",leo7.,#0,14,,
"2022-04-27,09:40:57",leo7.,#0,15,,
"2022-04-28,09:23:02",leo7.,#0,16,,
"2022-04-29,06:57:56",leo7.,#0,17,,
"2022-04-30,09:00:14",leo7.,#0,18,,
"2022-05-01,09:42:08",leo7.,#0,19,,
"2022-05-02,06:55:59",leo7.,#0,20,,
"2022-05-03,05:51:53",leo7.,#0,21,,
"2022-05-04,07:55:38",leo7.,#0,22,,
"2022-05-05,09:44:55",leo7.,#0,23,,
"2022-05-06,07:51:28",leo7.,#0,24,,
"2022-05-07,08:48:08",leo7.,#0,25,,
"2022-05-08,07:51:57",leo7.,#0,26,,
"2022-05-09,05:54:44",leo7.,#0,27,,
"2022-05-10,06:09:32",leo7.,#0,28,,
"2022-05-11,05:48:49",leo7.,#0,29,,
"2022-05-12,08:06:50",leo7.,#0,30,,
"2022-05-13,10:33:01",leo7.,#0,31,,
"2022-05-14,07:47:16",leo7.,#0,32,,
"2022-05-15,07:19:09",leo7.,#0,33,,
"2022-05-16,06:04:20",leo7.,#0,34,,
"2022-05-17,07:13:10",leo7.,#0,35,,
"2022-05-18,08:13:09",leo7.,#0,36,,
"2022-05-19,09:59:56",leo7.,#0,37,,
"2022-05-20,22:53:54",leo7.,#0,38,,
"2022-05-21,09:22:21",leo7.,#0,39,,
"2022-05-22,09:11:02",leo7.,#0,40,,
"2022-05-23,08:25:23",leo7.,#0,41,,
"2022-05-25,09:14:54",leo7.,#0,42,,
"2022-05-26,09:43:24",leo7.,#0,43,,
"2022-05-27,06:09:15",leo7.,#0,44,,
"2022-05-28,06:36:37",leo7.,#0,45,,
"2022-05-29,09:20:37",leo7.,#0,46,,
"2022-05-30,09:17:31",leo7.,#0,47,,
"2022-05-31,05:54:47",leo7.,#0,48,,
"2022-06-01,06:59:59",leo7.,#0,49,,
"2022-06-02,09:49:24",leo7.,#0,50,,
"2022-06-03,07:53:08",leo7.,#0,51,,
"2022-06-04,08:52:36",leo7.,#0,52,,
"2022-06-05,09:23:02",leo7.,#0,53,,
"2022-06-06,11:41:29",leo7.,#0,54,,
"2022-06-07,08:17:39",leo7.,#0,55,,
"2022-06-10,06:59:11",leo7.,#0,56,,
"2022-06-11,12:54:23",leo7.,#0,57,,
"2022-06-12,07:41:48",leo7.,#0,58,,
"2022-06-14,12:27:15",leo7.,#0,59,,
"2022-06-15,07:40:11",leo7.,#0,60,,
"2022-06-16,06:36:52",leo7.,#0,61,,
"2022-06-17,01:06:35",leo7.,#0,62,,
"2022-06-18,10:57:17",leo7.,#0,63,,
"2022-06-19,10:14:00",leo7.,#0,64,,
"2022-06-20,01:08:54",leo7.,#0,65,,
"2022-06-21,01:47:16",leo7.,#0,66,,
"2022-06-22,00:04:03",leo7.,#0,67,,
"2022-06-23,07:09:53",leo7.,#0,68,,
"2022-06-25,06:33:38",leo7.,#0,70,,
"2022-06-26,06:54:35",leo7.,#0,71,,
"2022-06-27,10:54:54",leo7.,#0,72,,
"2022-06-28,08:34:34",leo7.,#0,73,,
"2022-06-29,08:53:27",leo7.,#0,74,,
"2022-06-30,08:48:57",leo7.,#0,75,,
"2022-07-01,08:52:39",leo7.,#0,76,,
"2022-07-02,07:31:26",leo7.,#0,77,,
"2022-07-03,08:38:24",leo7.,#0,78,,
"2022-07-04,06:22:44",leo7.,#0,79,,
"2022-07-05,07:57:48",leo7.,#0,80,,
"2022-07-06,00:06:13",leo7.,#0,81,,
"2022-07-07,08:08:00",leo7.,#0,82,,
"2022-07-08,10:36:13",leo7.,#0,83,,
"2022-07-09,00:44:13",leo7.,#0,84,,
"2022-07-10,08:14:54",leo7.,#0,85,,
"2022-07-11,06:37:38",leo7.,#0,86,,
"2022-07-12,00:18:39",leo7.,#0,87,,
"2022-07-13,08:17:11",leo7.,#0,88,,
"2022-07-14,08:22:18",leo7.,#0,89,,
"2022-07-15,01:43:46",leo7.,#0,90,,
"2022-07-16,00:44:52",leo7.,#0,91,,
"2022-07-17,08:37:22",leo7.,#0,92,,
"2022-07-19,07:06:50",leo7.,#0,93,,
"2022-07-20,13:26:31",leo7.,#0,94,,
"2022-07-21,00:10:21",leo7.,#0,95,,
"2022-07-23,09:26:08",leo7.,#0,96,,
"2022-07-24,09:37:11",leo7.,#0,97,,
"2022-07-26,00:48:16",leo7.,#0,98,,
"2022-07-27,17:52:05",leo7.,#0,99,,
"2022-07-28,09:49:27",leo7.,#0,100,,
"2022-07-29,01:22:18",leo7.,#0,101,,
"2022-07-30,12:51:58",fameldin,#0,"Our whole universe was in a hot, dense state
Then nearly fourteen billion years ago expansion started, wait
The earth began to cool, the autotrophs began to drool
Neanderthals developed tools
We built a wall (we built the pyramids)
Math, science, history, unraveling the mysteries
That all started with the big bang (bang)",leo7.#0,
"2022-07-30,12:52:07",leo7.,#0,102,,
"2022-07-31,10:36:51",leo7.,#0,103,,
"2022-08-01,00:34:10",leo7.,#0,104,,
"2022-08-02,10:07:43",leo7.,#0,105,,
"2022-08-03,01:04:52",leo7.,#0,106,,
"2022-08-04,00:28:13",leo7.,#0,107,,
"2022-08-06,00:14:19",leo7.,#0,108,,
"2022-08-08,01:14:30",leo7.,#0,109,,
"2022-08-09,01:53:41",leo7.,#0,110,,
"2022-08-10,00:11:18",leo7.,#0,111,,
"2022-08-10,00:18:47",_tybg,#0,⏲️ 🐦 🪱,,
"2022-08-11,01:03:44",leo7.,#0,112,,
